,Unnamed: 0,sms,happy,joke,astonished,angry,bored,heart,filter,tokens
76,227,"Merci c super gentil! Jte le montrerai dans la semaine, l avis de l auteur d1 rapport publié, ca compte ! Bon we, bisous!",False,True,False,False,False,False,True,"['Merci', 'c', 'super', 'gentil', '!', 'Jte', 'le', 'montrerai', 'dans', 'la', 'semaine', ',', 'l', 'avis', 'de', 'l', 'auteur', 'd1', 'rapport', 'publié', ',', 'ca', 'compte', '!', 'Bon', 'we', ',', 'bisous', '!']"
77,228,Coucou! Js8 deja invitée a 1 annif vendredi .. Si je peux je vous rejoindrai en boite! Bisouss,False,False,False,True,False,False,True,"['Coucou', '!', 'Js8', 'deja', 'invitée', 'a', '1', 'annif', 'vendredi', '..', 'Si', 'je', 'peux', 'je', 'vous', 'rejoindrai', 'en', 'boite', '!', 'Bisouss']"
78,231,Ouf ça va alors,False,True,False,False,False,False,True,"['Ouf', 'ça', 'va', 'alors']"
79,233,Bonne soirée à toi aussi bisous,False,True,False,False,False,False,True,"['Bonne', 'soirée', 'à', 'toi', 'aussi', 'bisous']"
80,236,Ok! [ réunion à 13h30 donc je serai là bien avant ],False,True,False,False,False,False,True,"['Ok', '!', '[', 'réunion', 'à', '13', 'h30', 'donc', 'je', 'serai', 'là', 'bien', 'avant', ']']"
81,248,Bon week end ! Ha ce soir je bois du PASTIS,True,False,False,False,False,False,True,"['Bon', 'week', 'end', '!', 'Ha', 'ce', 'soir', 'je', 'bois', 'du', 'PASTIS']"
82,249,Deux bisous,True,False,False,False,False,False,True,"['Deux', 'bisous']"
83,250,J dois rentrée sinn j me fais viré,False,False,False,True,False,False,True,"['J', 'dois', 'rentrée', 'sinn', 'j', 'me', 'fais', 'viré']"
84,251,J suis gavée ma patronne ma appelle pr bosser demain ! bisou bon week-end,False,False,False,True,False,False,True,"['J', 'suis', 'gavée', 'ma', 'patronne', 'ma', 'appelle', 'pr', 'bosser', 'demain', '!', 'bisou', 'bon', 'week', '-', 'end']"
85,252,La patronne m a appelle au dernier moment hier! J'suis rentrée a minuit hier soir pr travailler que ce matin! Alors que c' mn jr de conget,False,False,False,True,False,False,True,"['La', 'patronne', 'm', 'a', 'appelle', 'au', 'dernier', 'moment', 'hier', '!', ""J'"", 'suis', 'rentrée', 'a', 'minuit', 'hier', 'soir', 'pr', 'travailler', 'que', 'ce', 'matin', '!', 'Alors', 'que', ""c'"", 'mn', 'jr', 'de', 'conget']"
86,253,Mn coeur j ai oublié mes tampons si t arrives a faire un allé retour pr moi ... Sinn c pas grave,False,False,False,True,False,False,True,"['Mn', 'coeur', 'j', 'ai', 'oublié', 'mes', 'tampons', 'si', 't', 'arrives', 'a', 'faire', 'un', 'allé', 'retour', 'pr', 'moi', '...', 'Sinn', 'c', 'pas', 'grave']"
87,254,Elle vient de m appeller elle m a mis des épilations comme ça !,False,False,False,True,False,False,True,"['Elle', 'vient', 'de', 'm', 'appeller', 'elle', 'm', 'a', 'mis', 'des', 'épilations', 'comme', 'ça', '!']"
88,256,Nan mais ya eu un bug et si je tapelle je peu pas sms jusqua debut octobre donc non,False,False,False,True,False,False,True,"['Nan', 'mais', 'ya', 'eu', 'un', 'bug', 'et', 'si', 'je', 'tapelle', 'je', 'peu', 'pas', 'sms', 'jusqua', 'debut', 'octobre', 'donc', 'non']"
90,259,Je t'aime ! J'ai plus de batt donc si je rep pas c'est pas pck j'ai pas envie et de toute facon j'ai piscine a 15h,True,False,False,False,False,False,True,"['Je', ""t'"", 'aime', '!', ""J'"", 'ai', 'plus', 'de', 'batt', 'donc', 'si', 'je', 'rep', 'pas', ""c'"", 'est', 'pas', 'pck', ""j'"", 'ai', 'pas', 'envie', 'et', 'de', 'toute', 'facon', ""j'"", 'ai', 'piscine', 'a', '15', 'h']"
91,260,Bsx tu me manque [_nickname_],False,False,False,False,False,True,True,"['Bsx', 'tu', 'me', 'manque', '[', '_nickname_', ']']"
92,261,Tu as pu dormir un peu ????? Bisous a plus tard,False,False,False,False,False,True,True,"['Tu', 'as', 'pu', 'dormir', 'un', 'peu', '?????', 'Bisous', 'a', 'plus', 'tard']"
93,262,30seconds to mars qui passe a mtp! ca te dirait toi ou pas?,False,False,True,False,False,False,True,"['30', 'seconds', 'to', 'mars', 'qui', 'passe', 'a', 'mtp', '!', 'ca', 'te', 'dirait', 'toi', 'ou', 'pas', '?']"
94,264,Fière de toi,False,False,False,False,False,True,True,"['Fière', 'de', 'toi']"
95,266,Ok mais je vais pas manger mais gouter,False,True,False,False,False,False,True,"['Ok', 'mais', 'je', 'vais', 'pas', 'manger', 'mais', 'gouter']"
96,267,Oki. Des que tu es dispo fais signe,False,False,False,False,False,True,True,"['Oki', '.', 'Des', 'que', 'tu', 'es', 'dispo', 'fais', 'signe']"
97,269,Elle a pas a donner de raison! Jusqu'à aujourd'hui j suis en 2mois d essaie Je t envoie le texto qu elle ma envoyé,False,False,False,True,False,False,True,"['Elle', 'a', 'pas', 'a', 'donner', 'de', 'raison', '!', ""Jusqu'"", 'à', ""aujourd'"", 'hui', 'j', 'suis', 'en', '2', 'mois', 'd', 'essaie', 'Je', 't', 'envoie', 'le', 'texto', 'qu', 'elle', 'ma', 'envoyé']"
98,270,J viens de me faire virer par sms,False,False,False,True,False,False,True,"['J', 'viens', 'de', 'me', 'faire', 'virer', 'par', 'sms']"
99,274,Ma chérie jsui passe au Mcdo je t vite vu mais toi nn je viens pas chez [_forename_] ma belle j'ai pas la foi ! Gros bisous,False,False,False,True,False,False,True,"['Ma', 'chérie', 'jsui', 'passe', 'au', 'Mcdo', 'je', 't', 'vite', 'vu', 'mais', 'toi', 'nn', 'je', 'viens', 'pas', 'chez', '[', '_forename_', ']', 'ma', 'belle', ""j'"", 'ai', 'pas', 'la', 'foi', '!', 'Gros', 'bisous']"
100,275,Je peux pas aler sur fb mais depeche davoir ton chargeur ! Tu l'aura a quel heure ?,False,False,False,True,False,False,True,"['Je', 'peux', 'pas', 'aler', 'sur', 'fb', 'mais', 'depeche', 'davoir', 'ton', 'chargeur', '!', 'Tu', ""l'"", 'aura', 'a', 'quel', 'heure', '?']"
101,279,Putain comment tu peut lire tt ? Je ne totorise pas ! Nan je deconne,False,False,True,False,False,False,True,"['Putain', 'comment', 'tu', 'peut', 'lire', 'tt', '?', 'Je', 'ne', 'totorise', 'pas', '!', 'Nan', 'je', 'deconne']"
102,287,Oui oui parfait. Bon cours... Ou pas,False,True,False,False,False,False,True,"['Oui', 'oui', 'parfait', '.', 'Bon', 'cours', '...', 'Ou', 'pas']"
103,289,Plage,False,True,False,False,False,False,True,['Plage']
104,295,poker face aussi!,False,False,True,False,False,False,True,"['poker', 'face', 'aussi', '!']"
105,296,une chanson de beyoncé est en fait une reprise d'elvis!,False,False,True,False,False,False,True,"['une', 'chanson', 'de', 'beyoncé', 'est', 'en', 'fait', 'une', 'reprise', ""d'"", 'elvis', '!']"
106,303,Bonne nuit mon amour fais de beaux je t'aime fort,False,False,False,False,False,True,True,"['Bonne', 'nuit', 'mon', 'amour', 'fais', 'de', 'beaux', 'je', ""t'"", 'aime', 'fort']"
107,317,on va voir si on se fait defoncer la semaine prochaine,False,True,False,False,False,False,True,"['on', 'va', 'voir', 'si', 'on', 'se', 'fait', 'defoncer', 'la', 'semaine', 'prochaine']"
108,320,Avec une robe noire sa doit etre,False,True,False,False,False,False,True,"['Avec', 'une', 'robe', 'noire', 'sa', 'doit', 'etre']"
109,323,Je me balade a aigue morte et toi ?,False,False,False,False,True,False,True,"['Je', 'me', 'balade', 'a', 'aigue', 'morte', 'et', 'toi', '?']"
110,325,Je vais me reposer avc mon chat jsai pas clip a il est vachement câlin et après bosser !!!,False,True,False,False,False,False,True,"['Je', 'vais', 'me', 'reposer', 'avc', 'mon', 'chat', 'jsai', 'pas', 'clip', 'a', 'il', 'est', 'vachement', 'câlin', 'et', 'après', 'bosser', '!!!']"
111,327,Ok [_nickname_] tu vas dormir ou look film ?,False,False,False,False,False,True,True,"['Ok', '[', '_nickname_', ']', 'tu', 'vas', 'dormir', 'ou', 'look', 'film', '?']"
112,330,Mouai on va dire sa !,True,False,False,False,False,False,True,"['Mouai', 'on', 'va', 'dire', 'sa', '!']"
113,335,J'vais a la douche on se tel après !,False,False,False,False,False,True,True,"[""J'"", 'vais', 'a', 'la', 'douche', 'on', 'se', 'tel', 'après', '!']"
